iso3c	country	description	value	units	year	source
CIV	Côte d'Ivoire	MSW	4.44081427	Million tonnes per year	2010	World Bank
CIV	Côte d'Ivoire	MSW per person	216.27693322943554	Kg per person per year	2010	World Bank
CMR	Cameroon	MSW	3.27061659	Million tonnes per year	2013	World Bank
CMR	Cameroon	MSW per person	148.14587987498302	Kg per person per year	2013	World Bank
COD	Congo, Democratic Republic of the	MSW	14.38522602	Million tonnes per year	2016	World Bank
COD	Congo, Democratic Republic of the	MSW per person	182.57911662795567	Kg per person per year	2016	World Bank
COG	Congo	MSW	0.4512	Million tonnes per year	1993	World Bank
COG	Congo	MSW per person	176.25	Kg per person per year	1993	World Bank
COL	Colombia	MSW	12.15012	Million tonnes per year	2011	World Bank
COL	Colombia	MSW per person	266.0823861769923	Kg per person per year	2011	World Bank
COM	Comoros	MSW	0.091013	Million tonnes per year	2015	World Bank
COM	Comoros	MSW per person	117.13384813384813	Kg per person per year	2015	World Bank
CPV	Cabo Verde	MSW	0.132555	Million tonnes per year	2012	World Bank
CPV	Cabo Verde	MSW per person	262.48514851485146	Kg per person per year	2012	World Bank
CRI	Costa Rica	MSW	1.46	Million tonnes per year	2014	World Bank
CRI	Costa Rica	MSW per person	304.48383733055266	Kg per person per year	2014	World Bank
CUB	Cuba	MSW	2.6926919799999998	Million tonnes per year	2007	World Bank
CUB	Cuba	MSW per person	239.3291245222647	Kg per person per year	2007	World Bank
CUW	Curaçao	MSW	0.024703813200000004	Million tonnes per year	2013	World Bank
CUW	Curaçao	MSW per person	157.3491286624204	Kg per person per year	2013	World Bank
CYM	Cayman Islands	MSW	0.06	Million tonnes per year	2014	World Bank
CYM	Cayman Islands	MSW per person	983.6065573770492	Kg per person per year	2014	World Bank
CYP	Cyprus	MSW	0.541	Million tonnes per year	2015	World Bank
CYP	Cyprus	MSW per person	465.9776055124892	Kg per person per year	2015	World Bank
CZE	Czechia	MSW	3.337	Million tonnes per year	2015	World Bank
CZE	Czechia	MSW per person	314.781624375059	Kg per person per year	2015	World Bank
DEU	Germany	MSW	51.046	Million tonnes per year	2015	World Bank
DEU	Germany	MSW per person	624.133419736633	Kg per person per year	2015	World Bank
DJI	Djibouti	MSW	0.11499724900398407	Million tonnes per year	2002	World Bank
DJI	Djibouti	MSW per person	153.94544712715407	Kg per person per year	2002	World Bank
DMA	Dominica	MSW	0.013176	Million tonnes per year	2013	World Bank
DMA	Dominica	MSW per person	185.57746478873239	Kg per person per year	2013	World Bank
DNK	Denmark	MSW	4.485	Million tonnes per year	2015	World Bank
DNK	Denmark	MSW per person	788.3635085252241	Kg per person per year	2015	World Bank
DOM	Dominican Republic	MSW	4.06391	Million tonnes per year	2015	World Bank
DOM	Dominican Republic	MSW per person	395.2450885041821	Kg per person per year	2015	World Bank
DZA	Algeria	MSW	12.37874	Million tonnes per year	2016	World Bank
DZA	Algeria	MSW per person	305.26349535153264	Kg per person per year	2016	World Bank
ECU	Ecuador	MSW	5.2972111425339365	Million tonnes per year	2015	World Bank
ECU	Ecuador	MSW per person	326.74630782962845	Kg per person per year	2015	World Bank
EGY	Egypt	MSW	21.0	Million tonnes per year	2012	World Bank
EGY	Egypt	MSW per person	242.99368216426373	Kg per person per year	2012	World Bank
ERI	Eritrea	MSW	0.72695737	Million tonnes per year	2011	World Bank
ERI	Eritrea	MSW per person	226.18462041070316	Kg per person per year	2011	World Bank
ESP	Spain	MSW	20.151	Million tonnes per year	2015	World Bank
ESP	Spain	MSW per person	431.7577991086733	Kg per person per year	2015	World Bank
EST	Estonia	MSW	0.473	Million tonnes per year	2015	World Bank
EST	Estonia	MSW per person	359.6958174904943	Kg per person per year	2015	World Bank
ETH	Ethiopia	MSW	6.53278697	Million tonnes per year	2015	World Bank
ETH	Ethiopia	MSW per person	64.78689909257699	Kg per person per year	2015	World Bank
FIN	Finland	MSW	2.738	Million tonnes per year	2015	World Bank
FIN	Finland	MSW per person	499.5438788542237	Kg per person per year	2015	World Bank
FJI	Fiji	MSW	0.189389594	Million tonnes per year	2011	World Bank
FJI	Fiji	MSW per person	219.4549177288528	Kg per person per year	2011	World Bank
FRA	France	MSW	33.399	Million tonnes per year	2015	World Bank
FRA	France	MSW per person	518.1915504320978	Kg per person per year	2015	World Bank
FRO	Faroe Islands	MSW	0.061	Million tonnes per year	2014	World Bank
FRO	Faroe Islands	MSW per person	1270.8333333333333	Kg per person per year	2014	World Bank
FSM	Micronesia (Federated States of)	MSW	0.026039569999999998	Million tonnes per year	2016	World Bank
FSM	Micronesia (Federated States of)	MSW per person	236.72336363636364	Kg per person per year	2016	World Bank
GAB	Gabon	MSW	0.23810231	Million tonnes per year	1995	World Bank
GAB	Gabon	MSW per person	219.449133640553	Kg per person per year	1995	World Bank
GBR	United Kingdom of Great Britain and Northern Ireland	MSW	31.567	Million tonnes per year	2015	World Bank
GBR	United Kingdom of Great Britain and Northern Ireland	MSW per person	479.30458548436076	Kg per person per year	2015	World Bank
GEO	Georgia	MSW	0.8	Million tonnes per year	2015	World Bank
GEO	Georgia	MSW per person	198.80715705765408	Kg per person per year	2015	World Bank
GHA	Ghana	MSW	3.53827497825	Million tonnes per year	2005	World Bank
GHA	Ghana	MSW per person	162.19458988081595	Kg per person per year	2005	World Bank
GIB	Gibraltar	MSW	0.016954	Million tonnes per year	2012	World Bank
GIB	Gibraltar	MSW per person	498.6470588235294	Kg per person per year	2012	World Bank
GIN	Guinea	MSW	0.596911	Million tonnes per year	1996	World Bank
GIN	Guinea	MSW per person	79.97199892818864	Kg per person per year	1996	World Bank
GMB	Gambia	MSW	0.19344054000000002	Million tonnes per year	2002	World Bank
GMB	Gambia	MSW per person	137.7781623931624	Kg per person per year	2002	World Bank
GNB	Guinea-Bissau	MSW	0.289514	Million tonnes per year	2015	World Bank
GNB	Guinea-Bissau	MSW per person	166.6747265400115	Kg per person per year	2015	World Bank
GNQ	Equatorial Guinea	MSW	0.19844306	Million tonnes per year	2016	World Bank
GNQ	Equatorial Guinea	MSW per person	163.32762139917696	Kg per person per year	2016	World Bank
GRC	Greece	MSW	5.477424	Million tonnes per year	2014	World Bank
GRC	Greece	MSW per person	511.86094757499296	Kg per person per year	2014	World Bank
GRD	Grenada	MSW	0.029536113936927774	Million tonnes per year	2012	World Bank
GRD	Grenada	MSW per person	276.0384480086708	Kg per person per year	2012	World Bank
GRL	Greenland	MSW	0.05	Million tonnes per year	2010	World Bank
GRL	Greenland	MSW per person	877.1929824561404	Kg per person per year	2010	World Bank
GTM	Guatemala	MSW	2.7567409713499997	Million tonnes per year	2015	World Bank
GTM	Guatemala	MSW per person	169.62472134814175	Kg per person per year	2015	World Bank
GUM	Guam	MSW	0.1415	Million tonnes per year	2012	World Bank
GUM	Guam	MSW per person	884.375	Kg per person per year	2012	World Bank
GUY	Guyana	MSW	0.1792515	Million tonnes per year	2010	World Bank
GUY	Guyana	MSW per person	239.3210947930574	Kg per person per year	2010	World Bank
HKG	Hong Kong	MSW	5.679816465	Million tonnes per year	2015	World Bank
HKG	Hong Kong	MSW per person	790.4002873643195	Kg per person per year	2015	World Bank
HND	Honduras	MSW	2.16202769575	Million tonnes per year	2016	World Bank
HND	Honduras	MSW per person	233.20328937007875	Kg per person per year	2016	World Bank
HRV	Croatia	MSW	1.654	Million tonnes per year	2015	World Bank
HRV	Croatia	MSW per person	390.7394283014411	Kg per person per year	2015	World Bank
HTI	Haiti	MSW	2.3098524548499997	Million tonnes per year	2015	World Bank
HTI	Haiti	MSW per person	215.9547919642857	Kg per person per year	2015	World Bank
HUN	Hungary	MSW	3.712	Million tonnes per year	2015	World Bank
HUN	Hungary	MSW per person	379.62773573327877	Kg per person per year	2015	World Bank
IDN	Indonesia	MSW	65.2	Million tonnes per year	2016	World Bank
IDN	Indonesia	MSW per person	249.27740139778862	Kg per person per year	2016	World Bank
IMN	Isle of Man	MSW	0.050551	Million tonnes per year	2011	World Bank
IMN	Isle of Man	MSW per person	594.7176470588236	Kg per person per year	2011	World Bank
IND	India	MSW	168.40323995	Million tonnes per year	2001	World Bank
IND	India	MSW per person	156.65416737128677	Kg per person per year	2001	World Bank
IRL	Ireland	MSW	2.692537	Million tonnes per year	2012	World Bank
IRL	Ireland	MSW per person	584.3179253472222	Kg per person per year	2012	World Bank
IRN	Iran (Islamic Republic of)	MSW	17.885	Million tonnes per year	2017	World Bank
IRN	Iran (Islamic Republic of)	MSW per person	221.69472196742444	Kg per person per year	2017	World Bank
IRQ	Iraq	MSW	13.14	Million tonnes per year	2015	World Bank
IRQ	Iraq	MSW per person	369.391656358934	Kg per person per year	2015	World Bank
ISL	Iceland	MSW	0.525	Million tonnes per year	2015	World Bank
ISL	Iceland	MSW per person	1590.909090909091	Kg per person per year	2015	World Bank
ISR	Israel	MSW	5.4	Million tonnes per year	2015	World Bank
ISR	Israel	MSW per person	676.8613687641013	Kg per person per year	2015	World Bank
ITA	Italy	MSW	29.524	Million tonnes per year	2015	World Bank
ITA	Italy	MSW per person	487.3716530753739	Kg per person per year	2015	World Bank
JAM	Jamaica	MSW	1.051694575	Million tonnes per year	2016	World Bank
JAM	Jamaica	MSW per person	361.90453372333104	Kg per person per year	2016	World Bank
JOR	Jordan	MSW	2.529997	Million tonnes per year	2013	World Bank
JOR	Jordan	MSW per person	296.98286183824393	Kg per person per year	2013	World Bank
JPN	Japan	MSW	43.981	Million tonnes per year	2015	World Bank
JPN	Japan	MSW per person	343.6418330273079	Kg per person per year	2015	World Bank
KAZ	Kazakhstan	MSW	4.65974	Million tonnes per year	2012	World Bank
KAZ	Kazakhstan	MSW per person	278.1602196752627	Kg per person per year	2012	World Bank
KEN	Kenya	MSW	5.595099	Million tonnes per year	2010	World Bank
KEN	Kenya	MSW per person	133.11838880826056	Kg per person per year	2010	World Bank
KGZ	Kyrgyzstan	MSW	1.1133	Million tonnes per year	2015	World Bank
KGZ	Kyrgyzstan	MSW per person	186.82664876657157	Kg per person per year	2015	World Bank
KHM	Cambodia	MSW	1.089	Million tonnes per year	2014	World Bank
KHM	Cambodia	MSW per person	71.29296235679215	Kg per person per year	2014	World Bank
KIR	Kiribati	MSW	0.0357238275	Million tonnes per year	2016	World Bank
KIR	Kiribati	MSW per person	316.1400663716814	Kg per person per year	2016	World Bank
KNA	Saint Kitts and Nevis	MSW	0.03289214	Million tonnes per year	2015	World Bank
KNA	Saint Kitts and Nevis	MSW per person	644.9439215686275	Kg per person per year	2015	World Bank
KOR	Korea, Republic of	MSW	18.218975	Million tonnes per year	2014	World Bank
KOR	Korea, Republic of	MSW per person	360.00187717356937	Kg per person per year	2014	World Bank
KWT	Kuwait	MSW	1.75	Million tonnes per year	2010	World Bank
KWT	Kuwait	MSW per person	584.8930481283422	Kg per person per year	2010	World Bank
LAO	Lao People's Democratic Republic	MSW	0.3519	Million tonnes per year	2015	World Bank
LAO	Lao People's Democratic Republic	MSW per person	52.20293724966622	Kg per person per year	2015	World Bank
LBN	Lebanon	MSW	2.04	Million tonnes per year	2014	World Bank
LBN	Lebanon	MSW per person	325.8265452803067	Kg per person per year	2014	World Bank
LBR	Liberia	MSW	0.5644667	Million tonnes per year	2007	World Bank
LBR	Liberia	MSW per person	163.04641825534372	Kg per person per year	2007	World Bank
LBY	Libya	MSW	2.14759647175	Million tonnes per year	2011	World Bank
LBY	Libya	MSW per person	343.7804500960461	Kg per person per year	2011	World Bank
LCA	Saint Lucia	MSW	0.07761622800000001	Million tonnes per year	2015	World Bank
LCA	Saint Lucia	MSW per person	433.6102122905028	Kg per person per year	2015	World Bank
LIE	Liechtenstein	MSW	0.032382	Million tonnes per year	2015	World Bank
LIE	Liechtenstein	MSW per person	875.1891891891892	Kg per person per year	2015	World Bank
LKA	Sri Lanka	MSW	2.63165	Million tonnes per year	2016	World Bank
LKA	Sri Lanka	MSW per person	125.19147519147519	Kg per person per year	2016	World Bank
LSO	Lesotho	MSW	0.073457	Million tonnes per year	2006	World Bank
LSO	Lesotho	MSW per person	36.913065326633166	Kg per person per year	2006	World Bank
LTU	Lithuania	MSW	1.3	Million tonnes per year	2015	World Bank
LTU	Lithuania	MSW per person	443.3833560709413	Kg per person per year	2015	World Bank
LUX	Luxembourg	MSW	0.356	Million tonnes per year	2015	World Bank
LUX	Luxembourg	MSW per person	627.8659611992946	Kg per person per year	2015	World Bank
LVA	Latvia	MSW	0.857	Million tonnes per year	2015	World Bank
LVA	Latvia	MSW per person	428.92892892892894	Kg per person per year	2015	World Bank
MAC	Macao	MSW	0.377942	Million tonnes per year	2016	World Bank
MAC	Macao	MSW per person	616.5448613376835	Kg per person per year	2016	World Bank
MAF	Saint Martin (French part)	MSW	0.0154795	Million tonnes per year	2012	World Bank
MAF	Saint Martin (French part)	MSW per person	418.36486486486484	Kg per person per year	2012	World Bank
MAR	Morocco	MSW	6.852	Million tonnes per year	2014	World Bank
MAR	Morocco	MSW per person	200.39775386055217	Kg per person per year	2014	World Bank
MCO	Monaco	MSW	0.046	Million tonnes per year	2012	World Bank
MCO	Monaco	MSW per person	1277.7777777777778	Kg per person per year	2012	World Bank
MDA	Moldova, Republic of	MSW	3.9812	Million tonnes per year	2015	World Bank
MDA	Moldova, Republic of	MSW per person	977.9415377057234	Kg per person per year	2015	World Bank
MDG	Madagascar	MSW	3.76875916	Million tonnes per year	2016	World Bank
MDG	Madagascar	MSW per person	151.39226962320237	Kg per person per year	2016	World Bank
MDV	Maldives	MSW	0.21150578	Million tonnes per year	2015	World Bank
MDV	Maldives	MSW per person	464.84786813186815	Kg per person per year	2015	World Bank
MEX	Mexico	MSW	53.1	Million tonnes per year	2015	World Bank
MEX	Mexico	MSW per person	435.7530896617374	Kg per person per year	2015	World Bank
MHL	Marshall Islands	MSW	0.008614	Million tonnes per year	2013	World Bank
MHL	Marshall Islands	MSW per person	151.12280701754386	Kg per person per year	2013	World Bank
MKD	North Macedonia	MSW	0.796585	Million tonnes per year	2016	World Bank
MKD	North Macedonia	MSW per person	382.7895242671792	Kg per person per year	2016	World Bank
MLI	Mali	MSW	1.93735444	Million tonnes per year	2012	World Bank
MLI	Mali	MSW per person	121.2437849677702	Kg per person per year	2012	World Bank
MLT	Malta	MSW	0.269	Million tonnes per year	2015	World Bank
MLT	Malta	MSW per person	619.815668202765	Kg per person per year	2015	World Bank
MMR	Myanmar	MSW	4.67730652914	Million tonnes per year	2000	World Bank
MMR	Myanmar	MSW per person	100.11358153125	Kg per person per year	2000	World Bank
MNE	Montenegro	MSW	0.332	Million tonnes per year	2015	World Bank
MNE	Montenegro	MSW per person	529.5055821371611	Kg per person per year	2015	World Bank
MNG	Mongolia	MSW	2.9	Million tonnes per year	2016	World Bank
MNG	Mongolia	MSW per person	948.9528795811518	Kg per person per year	2016	World Bank
MNP	Northern Mariana Islands	MSW	0.0327614145	Million tonnes per year	2013	World Bank
MNP	Northern Mariana Islands	MSW per person	595.6620818181818	Kg per person per year	2013	World Bank
MOZ	Mozambique	MSW	2.5	Million tonnes per year	2014	World Bank
MOZ	Mozambique	MSW per person	95.1076618732405	Kg per person per year	2014	World Bank
MRT	Mauritania	MSW	0.454	Million tonnes per year	2009	World Bank
MRT	Mauritania	MSW per person	133.80489242558207	Kg per person per year	2009	World Bank
MUS	Mauritius	MSW	0.438	Million tonnes per year	2016	World Bank
MUS	Mauritius	MSW per person	347.068145800317	Kg per person per year	2016	World Bank
MWI	Malawi	MSW	1.29784448	Million tonnes per year	2013	World Bank
MWI	Malawi	MSW per person	81.93979922974935	Kg per person per year	2013	World Bank
MYS	Malaysia	MSW	12.982685	Million tonnes per year	2014	World Bank
MYS	Malaysia	MSW per person	434.68326246358856	Kg per person per year	2014	World Bank
NAM	Namibia	MSW	0.256729	Million tonnes per year	1993	World Bank
NAM	Namibia	MSW per person	165.09903536977492	Kg per person per year	1993	World Bank
NCL	New Caledonia	MSW	0.10815738400000001	Million tonnes per year	2016	World Bank
NCL	New Caledonia	MSW per person	394.73497810218976	Kg per person per year	2016	World Bank
NER	Niger	MSW	1.86564567	Million tonnes per year	1993	World Bank
NER	Niger	MSW per person	210.5694887133183	Kg per person per year	1993	World Bank
NGA	Nigeria	MSW	27.61483007185	Million tonnes per year	2009	World Bank
NGA	Nigeria	MSW per person	178.93945571596078	Kg per person per year	2009	World Bank
NIC	Nicaragua	MSW	1.52881629335	Million tonnes per year	2010	World Bank
NIC	Nicaragua	MSW per person	262.50279762190934	Kg per person per year	2010	World Bank
NLD	Netherlands	MSW	8.855	Million tonnes per year	2015	World Bank
NLD	Netherlands	MSW per person	522.7889951588145	Kg per person per year	2015	World Bank
NOR	Norway	MSW	2.187	Million tonnes per year	2015	World Bank
NOR	Norway	MSW per person	420.5769230769231	Kg per person per year	2015	World Bank
NPL	Nepal	MSW	1.76897749	Million tonnes per year	2016	World Bank
NPL	Nepal	MSW per person	64.88565051535048	Kg per person per year	2016	World Bank
NRU	Nauru	MSW	0.0061917505	Million tonnes per year	2016	World Bank
NRU	Nauru	MSW per person	619.17505	Kg per person per year	2016	World Bank
NZL	New Zealand	MSW	3.405	Million tonnes per year	2016	World Bank
NZL	New Zealand	MSW per person	730.8435286542176	Kg per person per year	2016	World Bank
OMN	Oman	MSW	1.73488515	Million tonnes per year	2014	World Bank
OMN	Oman	MSW per person	430.8132977402533	Kg per person per year	2014	World Bank
PAK	Pakistan	MSW	30.76	Million tonnes per year	2017	World Bank
PAK	Pakistan	MSW per person	147.95147807182093	Kg per person per year	2017	World Bank
PAN	Panama	MSW	1.4722622151499996	Million tonnes per year	2015	World Bank
PAN	Panama	MSW per person	371.0338243825604	Kg per person per year	2015	World Bank
PER	Peru	MSW	8.35671113	Million tonnes per year	2014	World Bank
PER	Peru	MSW per person	277.7238660684613	Kg per person per year	2014	World Bank
PHL	Philippines	MSW	14.631922900000001	Million tonnes per year	2016	World Bank
PHL	Philippines	MSW per person	141.14758160981634	Kg per person per year	2016	World Bank
PLW	Palau	MSW	0.009426745500000002	Million tonnes per year	2016	World Bank
PLW	Palau	MSW per person	523.7080833333333	Kg per person per year	2016	World Bank
PNG	Papua New Guinea	MSW	1.0	Million tonnes per year	2014	World Bank
PNG	Papua New Guinea	MSW per person	125.83364791745312	Kg per person per year	2014	World Bank
POL	Poland	MSW	10.863	Million tonnes per year	2015	World Bank
POL	Poland	MSW per person	285.6128726928538	Kg per person per year	2015	World Bank
PRI	Puerto Rico	MSW	4.170953	Million tonnes per year	2015	World Bank
PRI	Puerto Rico	MSW per person	1233.280011827321	Kg per person per year	2015	World Bank
PRT	Portugal	MSW	4.71	Million tonnes per year	2014	World Bank
PRT	Portugal	MSW per person	452.1021309272413	Kg per person per year	2014	World Bank
PRY	Paraguay	MSW	1.8185013648000001	Million tonnes per year	2015	World Bank
PRY	Paraguay	MSW per person	271.8644587830767	Kg per person per year	2015	World Bank
PSE	Palestine, State of	MSW	1.387	Million tonnes per year	2012	World Bank
PSE	Palestine, State of	MSW per person	326.968411126827	Kg per person per year	2012	World Bank
PYF	French Polynesia	MSW	0.147	Million tonnes per year	2013	World Bank
PYF	French Polynesia	MSW per person	544.4444444444445	Kg per person per year	2013	World Bank
QAT	Qatar	MSW	1.000990016	Million tonnes per year	2012	World Bank
QAT	Qatar	MSW per person	455.824233151184	Kg per person per year	2012	World Bank
ROU	Romania	MSW	4.895	Million tonnes per year	2015	World Bank
ROU	Romania	MSW per person	245.67126725219575	Kg per person per year	2015	World Bank
RUS	Russian Federation	MSW	60.0	Million tonnes per year	2012	World Bank
RUS	Russian Federation	MSW per person	416.6840285011875	Kg per person per year	2012	World Bank
RWA	Rwanda	MSW	4.384969	Million tonnes per year	2016	World Bank
RWA	Rwanda	MSW per person	375.779329848316	Kg per person per year	2016	World Bank
SAU	Saudi Arabia	MSW	16.125700584	Million tonnes per year	2015	World Bank
SAU	Saudi Arabia	MSW per person	508.40849309540323	Kg per person per year	2015	World Bank
SDN	Sudan	MSW	2.831291	Million tonnes per year	2015	World Bank
SDN	Sudan	MSW per person	72.77821761817854	Kg per person per year	2015	World Bank
SEN	Senegal	MSW	2.45405925	Million tonnes per year	2016	World Bank
SEN	Senegal	MSW per person	163.66941776710684	Kg per person per year	2016	World Bank
SGP	Singapore	MSW	7.7043	Million tonnes per year	2017	World Bank
SGP	Singapore	MSW per person	1349.7372109320252	Kg per person per year	2017	World Bank
SLB	Solomon Islands	MSW	0.17997196437500002	Million tonnes per year	2013	World Bank
SLB	Solomon Islands	MSW per person	315.1873281523643	Kg per person per year	2013	World Bank
SLE	Sierra Leone	MSW	0.6102220899999999	Million tonnes per year	2004	World Bank
SLE	Sierra Leone	MSW per person	112.29703533308796	Kg per person per year	2004	World Bank
SLV	El Salvador	MSW	1.64899618	Million tonnes per year	2010	World Bank
SLV	El Salvador	MSW per person	266.6552684346701	Kg per person per year	2010	World Bank
SMR	San Marino	MSW	0.01717468	Million tonnes per year	2016	World Bank
SMR	San Marino	MSW per person	505.1376470588235	Kg per person per year	2016	World Bank
SOM	Somalia	MSW	2.32609917	Million tonnes per year	2016	World Bank
SOM	Somalia	MSW per person	163.9714627097138	Kg per person per year	2016	World Bank
SRB	Serbia	MSW	1.84	Million tonnes per year	2015	World Bank
SRB	Serbia	MSW per person	207.27723329953812	Kg per person per year	2015	World Bank
SSD	South Sudan	MSW	2.680681	Million tonnes per year	2013	World Bank
SSD	South Sudan	MSW per person	258.8779333655239	Kg per person per year	2013	World Bank
STP	Sao Tome and Principe	MSW	0.0255865	Million tonnes per year	2014	World Bank
STP	Sao Tome and Principe	MSW per person	130.54336734693877	Kg per person per year	2014	World Bank
SUR	Suriname	MSW	0.07861979914999999	Million tonnes per year	2010	World Bank
SUR	Suriname	MSW per person	148.61965812854442	Kg per person per year	2010	World Bank
SVK	Slovakia	MSW	1.784	Million tonnes per year	2015	World Bank
SVK	Slovakia	MSW per person	328.1824871228845	Kg per person per year	2015	World Bank
SVN	Slovenia	MSW	0.926	Million tonnes per year	2015	World Bank
SVN	Slovenia	MSW per person	447.12699179140515	Kg per person per year	2015	World Bank
SWE	Sweden	MSW	4.377	Million tonnes per year	2015	World Bank
SWE	Sweden	MSW per person	448.23348694316434	Kg per person per year	2015	World Bank
